100,7.6,3.7
200,17.2,3
300,27.6,2.2
400,51.2,1.8
500,124,1.84
700,54,0.251
850,44,0.251
1000,30,0.241
1200,34,0.181
1500,29.6,0.185
1700,27.6,0.173
2000,29.6,0.161
3000,28.8,0.146
4000,26,0.142
5000,14.4,0.139
6000,13.6,0.118
10000,10.9,0.049
